block,investor,amount_eth,total_eth,fee_paid_eth,is_address_contract,tx_hash
4570800,0x1ebF9F7AB379b4f49167a7Cd34BC5DfF938FbAb8,245,32408.8384,0.00367242,NO,0xd6b75fc8e109fcb4da8adc3a0d77e4c265daa16f5fff734641ef6086647eba81
4570799,0xa145AdDb0a24f0C4697189a02EAdb006BE244D49,203,13190.9316,0.0061207,NO,0xb8a70a5533c6df5cdb4254cbe542042658e92e1f39958ca2187469ec89ebf93f
4570800,0xfA369b7816E43e38b45E91E303cA4bd00A47d332,200,31083.1884,0.0024850042,NO,0xa8a5e49e3f7163a9fca583ce6119392599d37e6b7b3120b655569eed7b480258
4570800,0x6a00b74B720c22BF83Dca604cbFCd7cf17875519,200,30583.1884,0.00367242,NO,0x974bbca2684a2c12eabc02f296a48d7bad8c5a2916c1ca6ac04e63700af6a6c1
4570799,0x88b7a44CECD526cd2D424B0A4Cc2bbB26341Dd8f,200,27292.3784,0.001530175,NO,0xc9d8d76f902b804ead8ff02a10ce6f1394b205efcade04bc5a89f172fbf35e44
4570799,0xE3FA519a02244293D2685D468454F9A697540C16,200,17812.6784,0.00367242,NO,0x7334e6d807e8ac0847f9fa20f089bde86bd914c82c6975dbc5034185a2b99de7
4570800,0x73051a64044FEa61A6100eB0b55C9087BE32ccA3,198,31682.1884,0.00061207,NO,0xe65b0c80bd204210358391625e5ec2b120946ea9d43cae2dab47901b4b33f9cd
4570800,0x49a0E16e1E3f48e5C113682CaF0Ecbc2a9B551d6,188,34345.4384,0.001285347,NO,0x6ca6cc471855ce997ac024443fa410a3f5292f53c6cff5d11600ac7d773748a1
4570801,0xb0FB18334e54A4CE487b6fb1530E1678fE8bc671,180,38522.4384,0.005386216,NO,0xc03237594dc1ee10726d711c3694f31c6bc589bdd93052b2c04a8d794e2635a3
4570801,0xF17E6FF9Bbf082AFB8626a7756c0d091b94300D7,153,41137.2384,0.00183621,NO,0xaa0f760c99d6d4abc9ae74370482e2f7a1381db6329e700756895a7570eac8cb
4570799,0x2875F367B4c6c07Ca72568A9b0D0887A37f06b24,150,27092.3784,0.001530175,NO,0x15a46806e6c6b6d03b38221f7fe28b4daf9c516f4a9a1bdee032a1c7dea6703c
4570801,0x8D443dAb447811e7f7536ABC7DdF210EB76C0388,148,40484.2384,0.0030542293,NO,0x3a03bcbbfa6057540c4e3e69859948300ad55473fca82f05645ad8bd5ddbc9b4
